ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
1	the sound of taking manioc out of the ground	sonido de sacar yuca de la tierra			to harvest manioc	Agriculture and vegetation	AUDITORY, VISUAL
2	smell of wet dog	olor de perro mojado			wet dog's smell	Animals	OLFACTORY
3	moving around in circles or rotating	moverse en círculos o girar			moving in circles	Motion	VISUAL
4	the feeling of falling asleep	sensación de quedarse dormido			falling asleep	The body	INTERNAL STATE
5	nothing	nada			nothing	Sense perception	?
6	snore	roncar			snore	The body	AUDITORY
7	sudden noise	ruido repentino			sudden noise	Sense perception	AUDITORY
8	cannibal sounds	sonidos caníbales		sonido típico de los "huríhuri", caníbales míticos	cannibal sounds	Religion and belief	AUDITORY
9	something is pressed into a soft surface	algo se presiona contra una superficie suave			pressing something soft	Basic actions and technology	TACTILE
10	bark	ladrar			bark	Animals	AUDITORY
11	to pierce the ground	perforar el suelo			pierce ground	Basic actions and technology	AUDITORY, VISUAL
12	mist	neblina			mist	The physical world	VISUAL
13	unable	incapaz			unable	OTHER	?
14	fast	rápido			fast	Motion	VISUAL
15	to eat food	comer comida			to eat	Food and drink	VISUAL
16	hitting a tree root as a signal	golpear la raíz de un árbol para enviar una señal			hitting tree root	Agriculture and vegetation, Basic actions and technology	AUDITORY
17	jaguar's roar	rugido del jaguar			jaguar's roar	Animals	AUDITORY
18	putting something over ones shoulder (bag etc) [sic]	ponerse algo sobre el hombro (bolsa, etc.)			to put over the shoulder	Basic actions and technology	VISUAL
19	snake sticking out its tongue	sacar la lengua una serpiente			snake's tongue	Animals	VISUAL
20	hitting, breaking apart	golpear, hacer pedazos			hitting, breaking apart	Basic actions and technology	AUDITORY
21	vomiting	vomitar			vomiting	The body	AUDITORY
22	unwrapping	desenvolver			unwrapping	Basic actions and technology	VISUAL
23	solid hitting solid	objeto sólido golpeando a objeto sólido			solid objects hitting each other	Basic actions and technology	AUDITORY, TACTILE
24	coming out (of a hole, doorway etc.) [sic]	salir (de un agujeto, de una puerta, etc.)			to get out	Motion	VISUAL
25	falling	caer			to fall	Motion	VISUAL
26	slapping with the hand	dar una palmada con la mano			to slap	Basic actions and technology	AUDITORY
27	jumping	saltar			to jump	Basic actions and technology	VISUAL
28	wrapping up	envolver			to wrap up	Basic actions and technology	VISUAL
29	slashing	cortar dando un tajo			to slash	Basic actions and technology	AUDITORY
30	splash'	plas (sonido de golpe en el agua)			splash	Motion	AUDITORY
31	taking small bites	dar bocados pequeños			take small bites	Food and drink	VISUAL
32	taking big bites	dar bocados grandes			take bit bites	Food and drink	VISUAL
33	hitting	golpear			to hit	Basic actions and technology	AUDITORY
34	grabbing something	agarrar algo			to grab	Basic actions and technology	VISUAL
35	entering (house, cave etc) [sic]	entrar (a una casa, a una cueva, etc.)			to enter	Motion	VISUAL
36	a part snapping off	quebrarse una parte			snap off	Basic actions and technology	AUDITORY
37	tells the listener to pay attention	indica al oyente que "preste atención"		JMS: No estoy seguro de que sea un ideófono, parece una interjección, el autor lo llama "sound symbolic word".	paying attention	OTHER	?
38	sudden absence / sudden action	ausencia repentina / acción repentina			suddenly	Motion	?
39	describes a distance for throwing an object	describe la distancia de lanzar un objeto			throw	Motion	VISUAL
40	the sound of an object landing heavily into the water	el sonido de un objeto cayendo pesadamente en el agua			landing heavily into water	Motion	AUDITORY, VISUAL
41	crawling away	arrastrarse			crawling	Basic actions and technology	VISUAL
42	expression denoting something is abput to happen	expresión que denota que algo está a punto de pasar		JMS: No estoy seguro de que sea un ideófono, parece una interjección, el autor lo llama "sound symbolic word".	starting	OTHER	?
43	expression of glee asking listeners to pay attention to the leading character in the story, who is about to outwit the opressor	expresión de júbilo pidiéndole a los oyentes que presten atención al personaje principal del cuento		JMS: No estoy seguro de que sea un ideófono, parece una interjección, el autor lo llama "sound symbolic word".	paying attention	OTHER	?
44	empathising expression poor one	expresión empática "pobrecito"		JMS: No parece ideófono, sino interjección.	poor one!	OTHER	?
45	an object or someone falling slowly onto the ground	algo o alguien cayendo lentamente al suelo			to fall slowly	Motion	VISUAL
46	the flying of a huge bird such as the eagle	el vuelo de un ave grande como por ejemplo el águila			big bird flying	Animals	VISUAL
47	the clumsy dancing of a huge person such a a giant	el baile torpe de una persona grande como por ejemplo un gigante			clumsy dancing	Basic actions and technology	VISUAL
48	tired; blowing	cansado; soplar			blowing	The body	INTERNAL STATE, AUDITORY
49	something/someone falling	algo o alguien cayendo			to fall	Motion	VISUAL
50	someone sliding	alguien deslizándose			to slide	Basic actions and technology	VISUAL
51	someone snoring/sleeping	alguien roncando/durmiendo			snore	The body	AUDITORY, VISUAL
52	sound of a gunshot	sonido de un disparo			gunshot	Warfare and hunting	AUDITORY
53	big	grande			big	Spatial relations	VISUAL
54	cut	corte			cut	Basic actions and technology	AUDITORY
55	water boiling	agua hirviendo			boiling	Food and drink	AUDITORY
56	the movement of a person going or coming	movimiento de una persona yendo o viniendo			person going, person coming	Motion	VISUAL
57	wiggle	menearse			wiggle	Motion	VISUAL
58	pull (repeatedly)	jalar (repetidamente)			pull repeatedly	Basic actions and technology, Quantity	VISUAL
59	flap	aletear de alas			flap wings	Animals	AUDITORY
60	grabbing	acción de agarrar			grabbing	Basic actions and technology	VISUAL
61	jumping	acción de saltar			jumping	Basic actions and technology	VISUAL
62	action of paddling	accion de remar			paddling	Basic actions and technology	VISUAL
63	dying	morir			dying	The body	INTERNAL STATE
64	flapping (wings) clumsily	aletear alas torpemente			flap wings clumsily	Animals	AUDITORY, VISUAL
65	shoot	disparo			shoot	Warfare and hunting	AUDITORY
66	croak (frog)	croar de una rana			croak	Animals	AUDITORY
67	jump into a canoe	saltar hacia una canoa			jump into canoe	Basic actions and technology	VISUAL, AUDITORY
68	arrival of moon	llegada de la luna		Ideófono que el autor extrajo de una leyenda.	arrive	Religion and belief, Motion	?
69	glidding movement of canoe	movimiento deslizante de la canoa			canoe gliding	Basic actions and technology	VISUAL
70	movement of canoe in shallow water	movimiento de la canoa en agua poco profunda			canoe in shallow water	Basic actions and technology	VISUAL
71	climbing a tree	trepar un árbol			climbing a tree	Motion	VISUAL
72	screaming	gritar			screaming	Speech and language	AUDITORY
73	falling into the water	caer al agua			falling into water	Motion	AUDITORY
74	munching	masticar			munching	Food and drink, The body	VISUAL, AUDITORY
75	creep up	acercarse sigilosamente, sin hacer ruido			creep up	Motion	VISUAL
76	hit hard an object against another hard object	golpear con fuerza un objeto duro contra otro objeto duro			solid objects hitting each other	Basic actions and technology	TACTILE, AUDITORY
77	squeeze through	entrar apretadamente en, apretujarse entre			squeeze through	Motion	VISUAL
78	flapping of wings	aletear de alas			flap wings	Animals	AUDITORY
79	person walking	persona caminando			walk	Motion	AUDITORY, VISUAL
80	coming out, appearing	salir, aparecer			come out, appear	Motion	VISUAL
81	lifted up	levantado			to lift up	Motion	VISUAL
82	beat to death	matar a golpes		Ideófono que el autor extrajo de una leyenda.	beat	Warfare and hunting	AUDITORY
83	finish beating and throw out	terminar de golpear y (luego) botar/echar		Ideófono que el autor extrajo de una leyenda.	beat and throw out	Basic actions and technology	AUDITORY, VISUAL
84	short time passing	pasar poco tiempo			short time passing	Time	?
85	arrived	llegado			arrive	Motion	VISUAL
86	clearing field	limpiar campo			to clear field	Agriculture and vegetation	AUDITORY
87	digging of debris	excavación de escombro		Ideófono que el autor extrajo de una leyenda.	digging debris	Basic actions and technology	AUDITORY, VISUAL
88	pick up	recoger			pick up	Basic actions and technology	VISUAL
89	put dirt on top of, pour out	poner tierra encima de, verter			put dirt on top of, pour out	Basic actions and technology	VISUAL, AUDITORY
90	stamping	zapatear/pisotear			stamping	Basic actions and technology	AUDITORY
91	bird falling/struggling to flap wings	ave cayendo o con dificultad para aletear			bird struggling to flap, bird falling	Animals	VISUAL, AUDITORY
92	hammock swinging	hamaca balanceándose			hammock swinging	Basic actions and technology	VISUAL
93	trees falling	árboles cayendo			tree falling	Agriculture and vegetation, Motion	AUDITORY, VISUAL
94	flute music	música de la flauta			flute	Basic actions and technology	AUDITORY
95	gourds rattling	cascabeleo de calabazas			gourds rattling	Basic actions and technology	AUDITORY
96	stepping into water	entrar al agua (alguien?)			stepping into water	Motion	VISUAL, AUDITORY
97	fast approach	acercarse/aproximarse rápidamente			to approach fast	Motion	VISUAL
98	sound of wind	sonido del viento			wind	The physical world	AUDITORY
99	bang	disparo			bang	Basic actions and technology	AUDITORY
100	roaring waterfall	ruido de cascada		Nature sounds	waterfall	The physical world	AUDITORY
101	water level rising quickly in the river	nivel del agua subiendo rápidamente en el río		Nature sounds	water level rising quickly	The physical world	VISUAL
102	water level rising slowly	nivel del agua subiendo lentamente		Nature sounds	water level rising slowly	The physical world	VISUAL
103	rain drizzling / rain drops falling	lluvia cayendo en gotas / caída de gotas de lluvia		Nature sounds	drizzle	The physical world	VISUAL, AUDITORY
104	bird wings flapping	aleteo de alas de ave		Nature sounds	flap wings	Animals	AUDITORY
105	stream or any liquid trickling	una corriente o cualquier líquido chorreando en un hilo		Nature sounds	stream	The physical world	AUDITORY
106	wind in the trees	viento en los árboles		Nature sounds	wind in the trees	The physical world	AUDITORY
107	foam/bubbles appearing in a water stream	espuma/burbujas apareciendo en una corriente de agua		Nature sounds	foam in water stream	The physical world	VISUAL
108	smoke or mist rising	humo o vapor subiendo		Nature sounds	smoke, mist	The physical world	VISUAL
109	dry leaves rustling	hojas secas crujiendo		Nature sounds	dry leaves	Agriculture and vegetation	AUDITORY
110	rain, waterfall falling	caída de lluvia o cascada		Nature sounds	water falling	The physical world	AUDITORY
111	thunder	trueno		Nature sounds	thunder	The physical world	AUDITORY
112	bell ringing	hacer sonar una campana		Human sounds	bell	Basic actions and technology	AUDITORY
113	drumming	tocar el tambor		Human sounds	drum	Basic actions and technology	AUDITORY
114	gunfire	disparo		Human sounds	gunfire	Warfare and hunting	AUDITORY
115	dawn, disappearance of darkness	amanecer, desaparición de la oscuridad		Light, fire	dawn	The physical world	VISUAL
116	burning (fire)	arder (un fuego)		Light, fire	burn	The physical world	VISUAL
117	blinking light	luz parpadeante		Light, fire	light blinking	The physical world	VISUAL
118	brilliance (of the sun)	brillo (del sol)		Light, fire	light of the sun	The physical world	VISUAL
119	leaping like a deer	brincar como un venado		"Movement". Marcado como "non-conventionalized item" por la autora.	leaping	Animals	VISUAL
120	a woman walking in high heels	una mujer caminando con tacones altos		"Movement". Marcado como "non-conventionalized item" por la autora.	walking in heels	Clothing and grooming	AUDITORY
121	walking or dancing while twisting at the hips	caminar o bailar girando las caderas		Movement	moving the hips	Motion	VISUAL
122	moving in a single straight line, e.g., the flight of a meteor	moverse en línea recta, p. ej., el vuelo de un meteorito		Movement	straight movement	Motion	VISUAL
123	a flock of birds flying in one direction	una bandada de aves volando en una dirección		Movement	flock	Animals	VISUAL
124	moving/walking fast	moverse/caminar rápido		Movement	fast	Motion	VISUAL
125	moving up or down a tree	subir o bajar a lo largo de un árbol		Movement	moving up or down a tree	Motion	VISUAL
126	moving/walking slowly	moverse/caminar lento		Movement	slowly	Motion	VISUAL
127	limping	cojear		Movement	limping	Motion	VISUAL
128	slowly climbing up a tree	trepar lentamente un árbol		Movement	slowly climbing a tree	Motion	VISUAL
129	slipping down a tree	bajar de un árbol deslizándose?		Movement	slipping down a tree	Motion	VISUAL
130	twisting movement	movimiento giratorio?		Movement	twist	Motion	VISUAL
131	turning/walking around an object	girar uno mismo/girar alrededor de un objeto		Movement	turning, moving around an object	Motion	VISUAL
132	leaping like a frog	brincar como una rana		Movement	leaping	Animals	VISUAL
133	running	correr		Movement	run	Motion	VISUAL, AUDITORY
134	moving in a curved trajectory, e.g., a snake, a river	moverse siguiendo un trayecto curvo, p. ej., una serpiente, un río		Movement	move in a curve	Motion	VISUAL
135	walking with bouncing breasts (about a woman)	caminar con senos que rebotan (dicho de una mujer)		"Movement". Marcado como "non-conventionalized item" por la autora.	bouncing breasts	The body, Motion	VISUAL
136	walking on the outside edge of the feet (about a child)	caminar sobre el borde exterior de los pies (dicho de un niño)		Movement	walking on the outside edge of the feet	The body, Motion	VISUAL
137	walking like a duck	caminar como un pato		"Movement". Marcado como "non-conventionalized item" por la autora.	walking like a duck	Animals	VISUAL
138	painting a face or body	pintar una cara o un cuerpo		Contact	painting face or body	The physical world	VISUAL
139	grabbing a moving object	agarrar un objeto en movimiento		Contact	grabbing a moving object	Basic actions and technology	VISUAL
140	sticking a bandage, taking a picture, pressing heated leaves into the body	colocar una venda, tomar una foto, presionar hojas calientes en el cuerpo		Contact	to stick, to press	Basic actions and technology	VISUAL, AUDITORY
141	becoming unattached, separated, e.g., a tooth falling out, a sandal slipping off a foot	desprenderse, separarse, p. ej., un diente que se cae, una sandalia que se sale del pie		Contact	becoming unattached	Motion	VISUAL
142	grabbing a static object	agarrar un objeto estático		Contact	grabbing a static object	Basic actions and technology	VISUAL
143	falling resulting in the disintegration of a fragile object, e.g., a mirror, a teacup	caída que resulta en la desintegración de un objeto frágil, p. ej., un espejo, una taza		Falling	breaking and falling	Motion	AUDITORY, VISUAL
144	light object falling	caída de un objeto liviano		Falling	light object falling	Motion	AUDITORY, VISUAL
145	heavy object falling in water	caída de un objeto pesado en el agua		Falling	heavy object falling in water	Motion	AUDITORY, VISUAL
146	corn or grain feed for chickens falling	caída de maíz o granos para alimentar a pollos		Falling	grain falling	Motion	AUDITORY, VISUAL
147	many objects simultaneously falling	caída de muchos objetos simultáneamente		Falling	many objects falling	Motion, Quantity	AUDITORY, VISUAL
148	a metallic object falling, e.g., a coin, a can	caída de un objeto metálico, p. ej., una moneda, una lata		Falling	metallic object falling	Motion	AUDITORY, VISUAL
149	light object falling in water	caída de un objeto liviano en el agua		Falling	light object falling in water	Motion	AUDITORY, VISUAL
150	dispersal of multiple pieces on the ground, e.g., dust, sand, as a result of insect of animal [sic] digging, or wind blowing	dispersión de múltiples piezas en el suelo, p. ej., polvo, arena, por efecto de un insecto o animal que cava, o por efecto del viento		Falling	to scatter	Motion	VISUAL
151	heavy blow administered to a human body	golpe duro a un cuerpo humano		Hitting	heavy blow on the human body	Basic actions and technology	AUDITORY
152	hitting an inanimate object, e.g., crushing cotton mass with an arrow, hammering nails into wood	golpear a un objeto inanimado, p. ej., aplastar una masa de algodón con una flecha, martillar clavos en una madera		Hitting	hitting an inanimate object	Basic actions and technology	AUDITORY
153	blow administered to a human body	golpe a un cuerpo humano		Hitting	blow on the human body	Basic actions and technology	AUDITORY
154	hitting a mushy object, e.g., manioc mass, with a wooden stick	golpear un objeto pastoso, p. ej., masa de yuca, con un palo de madera		Hitting	hitting mushy object	Basic actions and technology	AUDITORY
155	crashing into a vacuous space, e.g., falling through the roof of the house	chocar y entrar en un espacio vacío, p. ej., caerse atravesando el techo de la casa		Penetration	crashing into an empty space	Motion	AUDITORY, VISUAL
156	entering solid space, e.g., an arrow piercing flesh	entrar en un espacio sólido, p. e.j., una flecha que atraviesa la carne		Penetration	entering solid space	Motion	AUDITORY, VISUAL
157	effortlessly entering a vacuous space, e.g., an animal den	entrar sin esfuerzo a un espacio vacío, p. ej., la madriguera de un animal		Penetration	entering an empty space	Motion	VISUAL
158	filling enclosed space with something, e.g., a bag with seeds	llenar espacio vacío con algo, p. ej., una bolsa con semillas		Penetration	to fill a container	Motion	VISUAL, AUDITORY
159	chopping firewood or a tree	cortar leña o un árbol		Deformation	to chop tree or firewood	Agriculture and vegetation	AUDITORY
160	striking soft ground/digging with a machete	golpear tierra suave/cavar con un machete		Deformation	strike soft surface with machete	Basic actions and technology	AUDITORY
161	tearing clothes	rasgar ropa		Deformation	tearing clothes	Clothing and grooming	AUDITORY
162	harvesting leaves of medicinal plants, or cutting weeds with a machete, or slicing the kernels off the corn cob	cosechar hojas de plantas medicinales, o cortar malezas con un machete, o cortar los granos de maíz para quitarlos de la mazorca		Deformation	harvesting or cutting off from plants	Agriculture and vegetation	AUDITORY, VISUAL
163	removing strips of surface with a machete, knife, or razor	sacar tiras de la superficie con machete, cuchillo o navaja		Deformation	remove strips of surface with a sharp instrument	Basic actions and technology	VISUAL, AUDITORY
164	splitting open watermelon, splitting thick firewood	partir en dos una sandía, partir un leño grueso		Deformation	to split open	Basic actions and technology	AUDITORY, VISUAL
165	bursting of a thread or rope	romperse un hilo o una soga		Deformation	bursting a thread or rope	Basic actions and technology	VISUAL, AUDITORY
166	pulling weeds from the ground	jalar malezas del suelo		Deformation	to pull out weeds	Agriculture and vegetation	VISUAL, AUDITORY
167	shredding/scratching/raking	cortar en tiras/rascar/rastrillar		Deformation	shredding, scratching, raking	Basic actions and technology	VISUAL, AUDITORY
168	cutting or breaking with hands firewood	cortar o romper con las manos la leña		Deformation	cut or break firewood	Agriculture and vegetation	VISUAL, AUDITORY
169	with leaves placed between the hands, rubbing the hands together to produce mushy substance with juice	con hojas entre las manos, frotar las manos para producir sustancia pastosa con jugo		Deformation	rubbing leaves into mush	Basic actions and technology	VISUAL, AUDITORY
170	grinding leafy mass with a stone	moler sustancia hecha de hojas con piedra		Deformation	grinding with stone	Basic actions and technology	VISUAL, AUDITORY
171	breaking food into multiple pieces, e.g. cooked manioc, squash, papaya	romper comida en múltiples pedazos, p. ej., yuca sancochada, calabaza, papaya		Deformation	to break food into pieces	Food and drink, Quantity	VISUAL, AUDITORY
172	breaking something soft into pieces, e.g. a soft stone, cookie, bread, banana, cooked manioc	romper algo suave en pedazos, p. ej., una piedra suave, una galleta, pan, plátano, yuca sancochada		Deformation	to break into pieces	Basic actions and technology	VISUAL, AUDITORY
