ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Paumari,Paumari,paum1247,Paumari,pad,South America,-5.78403,-64.2803,Arawan
Matsigenka,Matsigenka,mach1267,Machiguenga,mcb,South America,-12.1291,-72.5017,Arawakan
AsheninkaPerene,Asheninka-Perené,ashe1272,Ashéninka Perené,prq,South America,-10.9777,-74.9153,Arawakan
Yanesha,Yanesha',yane1238,Yanesha',ame,South America,-10.5454,-75.315,Arawakan
Caquinte,Caquinte,caqu1242,Caquinte,cot,South America,-11.4812,-73.4451,Arawakan
Parecis,Parecís,pare1272,Parecís,pab,South America,-14.5929,-57.4059,Arawakan
Yucuna,Yucuna,yucu1253,Yucuna,ycn,South America,-0.76075,-71.0033,Arawakan
Palikur,Palikúr,pali1279,Palikúr,plu,South America,3.63993,-51.6246,Arawakan
Apurina,Apurinã,apur1254,Apurinã,apu,South America,-8.21692,-66.7714,Arawakan
BanivaDeMaroa,Baniva de Maroa,guar1293,Baniva de Maroa,gae,South America,1.80835,-66.922505,Arawakan
Tariana,Tariana,tari1256,Tariana,tae,South America,0.440205,-68.9042,Arawakan
Tsafiki,Tsafiki,colo1256,Tsafiki,cof,South America,-0.21181,-79.2347,Barbacoan
Chapalaa,Cha'palaa,chac1249,Cha'palaa,cbi,South America,0.71489,-79.0508,Barbacoan
Bora,Bora,bora1263,Bora,boa,South America,-2.000259,-72.257066,Boran
Bororo,Bororo,boro1282,Bororo,bor,South America,-16.6029,-55.2004,Bororoan
Hixkaryana,Hixkaryána,hixk1239,Hixkaryána,hix,South America,-0.16265,-58.80153,Cariban
KuikuroKalapalo,Kuikúro-Kalapálo,kuik1246,Kuikúro-Kalapálo,kui,South America,-12.3035,-53.2261,Cariban
Wayana,Wayana,waya1269,Wayana,way,South America,2.77537,-54.4429,Cariban
Apalai,Apalaí,apal1257,Apalaí,apy,South America,1.49792,-54.7457,Cariban
Trio,Trió,trio1238,Trió,tri,South America,2.53616,-55.7599,Cariban
Waiwai,Waiwai,waiw1244,Waiwai,waw,South America,1.50881,-59.1417,Cariban
Yekwana,Ye'kwana,maqu1238,Ye'kwana,mch,South America,4.70705,-64.3877,Cariban
Akawaio,Akawaio,akaw1241,Akawaio,,South America,,,Cariban
GalibiCarib,Galibi Carib,gali1262,Galibi Carib,car,South America,5.83772,-56.8323,Cariban
Wari,Wari',wari1268,Wari',pav,South America,-10.69948,-64.56152,Chapacuran
Shuar,Shuar,shua1257,Shuar,jiv,South America,-3.45136,-78.1892,Chicham
Huambisa,Huambisa,huam1247,Huambisa,hub,South America,-3.99109,-77.9797,Chicham
Aguaruna,Aguaruna,agua1253,Aguaruna,agr,South America,-5.30044,-77.9218,Chicham
Shiwiar,Shiwiar,shiw1235,Shiwiar,,South America,,,Chicham
Waorani,Waorani,waor1240,Waorani,auc,South America,-1.12312,-76.683,Waorani
Yuracare,Yuracaré,yura1255,Yuracaré,yuz,South America,-16.7479,-65.1224,Yuracaré
Kwaza,Kwaza,kwaz1243,Kwaza,xwa,South America,-11.6667,-61.1833,Kwaza
Urarina,Urarina,urar1246,Urarina,ura,South America,-4.44006,-75.4211,Urarina
Saramaccan,Saramaccan,sara1340,Saramaccan,srm,South America,4.54729,-54.0238,Indo-European
Aukan,Aukan,ndyu1242,Aukan,djk,South America,4.3126,-54.6419,Indo-European
Hup,Hup,hupd1244,Hup,jup,South America,0.58622,-69.8359,Naduhup
Daw,Dâw,daww1239,Dâw,kwa,South America,-0.1177,-67.2934,Naduhup
SouthernNambikuara,Southern Nambikuára,sout2994,Southern Nambikuára,nab,South America,-14.3707,-59.5187,Nambiquaran
Yaminawa,Yaminawa,yami1256,Yaminahua,yaa,South America,-9.8846,-71.5964,Pano-Tacanan
Iskonawa,Iskonawa,isco1239,Isconahua,isc,South America,-7.75236,-74.5193,Pano-Tacanan
CashiboCacataibo,Cashibo-Cacataibo,cash1251,Cashibo-Cacataibo,cbr,South America,-8.70232,-75.4206,Pano-Tacanan
Yagua,Yagua,yagu1244,Yagua,yad,South America,-3.42913,-72.2186,Peba-Yagua
PastazaQuechua,Pastaza Quechua,past1249,Pastaza Quechua,,,,,Quechuan
ImbaburaHighlandQuichua,Imbabura Highland Quichua,imba1240,Imbabura Highland Quichua,qvi,South America,0.31776,-78.3729,Quechuan
Cavinena,Cavineña,cavi1250,Cavineña,cav,South America,-13.3544,-66.6277,Pano-Tacanan
Araona,Araona,arao1248,Araona,aro,South America,-12.4242,-67.7293,Pano-Tacanan
BarasanaEduria,Barasana-Eduria,bara1380,Barasana-Eduria,bsn,South America,0.02193,-70.808,Tucanoan
Karitiana,Karitiâna,kari1312,Karipuna,,South America,-10.0,-65.5,Pano-Tacanan
Karo,Karo,karo1305,Karo (Brazil),arr,South America,-10.3342,-61.5691,Tupian
Aweti,Awetí,awet1244,Awetí,awe,South America,-12.381944,-53.391944,Tupian
Akuntsu,Akuntsu,akun1241,Akuntsu,aqz,South America,-12.8322,-60.9716,Tupian
UrubuKaapor,Urubú-Kaapor,urub1250,Urubú-Kaapor,urb,South America,-2.46455,-46.2204,Tupian
CocamaCocamilla,Cocama-Cocamilla,coca1259,Cocama-Cocamilla,cod,South America,-4.5,-74.0,Tupian
Yanomamo,Yanomamö,yano1261,Yanomamö,guu,South America,1.67967,-64.8781,Yanomamic
Sanuma,Sanumá,sanu1240,Sanumá,xsu,South America,4.5,-64.5,Yanomamic
