ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Portuguese,Simplified,SemanticField,SensoryCategory
1,the sound of taking manioc out of the ground,,,sonido de sacar yuca de la tierra,,,sacar (yuca),Agriculture and vegetation
2,smell of wet dog,,,olor de perro mojado,,,olor (perro mojado),Animals
3,moving around in circles or rotating,,,moverse en círculos o girar,,,moverse (en circulo),Motion
4,the feeling of falling asleep,,,sensación de quedarse dormido,,,,The body
5,nothing,,,nada,,,,Sense perception
7,sudden noise,,,ruido repentino,,,,Sense perception
8,cannibal sounds,,,sonidos caníbales,,"sonido típico de los huríhuri, caníbales míticos",,Religion and belief
9,something is pressed into a soft surface,,,algo se presiona contra una superficie suave,,,,Basic actions and technology
11,to pierce the ground,,,perforar el suelo,,,,Basic actions and technology
12,mist,,,neblina,,,,The physical world
13,unable,,,incapaz,,,,OTHER
14,fast,,,rápido,,,,Motion
15,to eat food,,,comer comida,,,,Food and drink
16,hitting a tree root as a signal,,,golpear la raíz de un árbol para enviar una señal,,,,"Agriculture and vegetation, Basic actions and technology"
18,putting something over ones shoulder (bag etc) [sic],,,"ponerse algo sobre el hombro (bolsa, etc.)",,,,Basic actions and technology
19,snake sticking out its tongue,,,sacar la lengua una serpiente,,,,Animals
20,"hitting, breaking apart",,,"golpear, hacer pedazos",,,,Basic actions and technology
22,unwrapping,,,desenvolver,,,,Basic actions and technology
23,solid hitting solid,,,objeto sólido golpeando a objeto sólido,,,,Basic actions and technology
24,"coming out (of a hole, doorway etc.) [sic]",,,"salir (de un agujeto, de una puerta, etc.)",,,,Motion
25,falling,,,caer,,,,Motion
26,slapping with the hand,,,dar una palmada con la mano,,,,Basic actions and technology
28,wrapping up,,,envolver,,,,Basic actions and technology
29,slashing,,,cortar dando un tajo,,,,Basic actions and technology
30,'splash',,,plas (sonido de golpe en el agua),,,,Motion
31,taking small bites,,,dar bocados pequeños,,,,Food and drink
32,taking big bites,,,dar bocados grandes,,,,Food and drink
34,grabbing something,,,agarrar algo,,,,Basic actions and technology
35,"entering (house, cave etc) [sic]",,,"entrar (a una casa, a una cueva, etc.)",,,,Motion
